공간정보일련번호,관리번호,종류,등급,명칭,상태,도엽명,계획기관,표지상황,위치,위치_비고,측량연도,고시일자,고시번호,기준타원체,종축(x)좌표,횡축(y)좌표,정표고(h),직각좌표계원점
1139,20615,공공기준점,4급,NO006,양호,양산,한국전력공사,동판,부산 광역시 북구 금곡동,부산광역시 북구 금곡동 금곡하나유치원 앞 삼거리 중앙에 위치  ,2009,2010-04-01,2010-245,GRS80,196342.9394,201765.7708,47.7259,동부
1140,20616,공공기준점,4급,NO007,양호,양산,한국전력공사,동판,부산 광역시 북구 금곡동,부산광역시 북구 금곡동 신도시부동산 앞 사거리 중앙에 위치  ,2009,2010-04-01,2010-245,GRS80,196225.7171,201933.2963,74.2149,동부
1141,20617,공공기준점,4급,NO008-1,양호,김해,한국전력공사,동판,부산 광역시 북구 구포동,SK성도 주유소 진출입 도로 경계석에 위치함.  ,2009,2010-04-01,2010-245,GRS80,189552.7311,199395.6529,3.4433,동부
1142,20618,공공기준점,4급,NO009-1,양호,김해,한국전력공사,동판,부산 광역시 북구 구포동,구포삼거리에서 구포역 방향 LCD전광판(도로안내) 뒷 버스전용차로줄 표지판 아래 측구에 위치함. ,2009,2010-04-01,2010-245,GRS80,189379.2245,199231.6141,2.9706,동부
1143,20619,공공기준점,4급,NO0010,양호,김해,한국전력공사,동판,부산광역시 강서구 대저동,등구마을 안 ㈜풍년 농신미곡처리장 지나 농로 들어가는 입구에 위치함.  ,2009,2010-04-01,2010-245,GRS80,189194.0543,196684.6867,1.0027,동부
1144,20620,공공기준점,4급,NO0011,양호,김해,한국전력공사,동판,부산광역시 강서구 대저동,공항로 등구마을 방향 태일산업 앞 도로 중앙분리대 화단 과속은위험 표지판 10M전에 위치함. ,2009,2010-04-01,2010-245,GRS80,189006.1968,196908.1649,4.2856,동부
1145,20621,공공기준점,4급,NO0012,양호,김해,한국전력공사,동판,부산광역시 강서구 대저동,동구마을 입구 표지판에서 약 50M지점 자전거도로와 인도경계석에 위치 함. ,2009,2010-04-01,2010-245,GRS80,188734.0594,196688.5669,6.2526,동부
1146,20622,공공기준점,4급,NO19,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 녹산농협 뒷편 맨홀 앞 ASP에 위치  ,2010,2010-04-08,2010-258,GRS80,278994.3042,188888.6094,2.7597,동부
1147,20623,공공기준점,4급,NO20,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 경계석 밑 ASP에 위치  ,2010,2010-04-08,2010-258,GRS80,278991.8071,189055.6762,2.8872,동부
1148,20624,공공기준점,4급,NO21,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구내 녹산이주단지 뒷편 횡단보도 시작점 측구에 위치  ,2010,2010-04-08,2010-258,GRS80,278987.4074,189321.9065,2.3911,동부
1032,20507,공공기준점,4급,DG47,양호,부산,(주)부산도시가스,동판,부산광역시 동구,도로삼거리 코너 우수맨홀 옆에 위치(새주소 : 초량상로),2015,,,GRS80,279787.429,203282.095,30.481,동부
1033,20508,공공기준점,4급,DG48,양호,부산,(주)부산도시가스,동판,부산광역시 동구,골목입구 빗물받이 경계석 위에 위치(새주소 : 초량상로 17-1),2015,,,GRS80,279719.826,203262.168,21.296,동부
1034,20509,공공기준점,4급,CG51,양호,부산,(주)부산도시가스,동판,부산광역시 부산진구,하나로마트입구 삼거리 새로미 옷수선집 앞에 위치(새주소 : 당감로 103),2015,,,GRS80,286051.711,203449.751,86.034,동부
1035,20510,공공기준점,4급,CG52,양호,부산,(주)부산도시가스,동판,부산광역시 부산진구,도로사거리 횡단보도 중간에 위치(새주소 : 당감로),2015,,,GRS80,285966.283,203485.272,72.732,동부
1036,20511,공공기준점,4급,CG53,양호,부산,(주)부산도시가스,동판,부산광역시 부산진구,하나로빌라 입구 삼거리 코너에 위치(새주소 : 성지로 94번길 133-18),2015,,,GRS80,287289.445,205398.913,112.085,동부
1037,20512,공공기준점,4급,CG54,양호,부산,(주)부산도시가스,동판,부산광역시 부산진구,도로삼거리 코너에 위치(새주소 : 성지로 94번길),2015,,,GRS80,287200.117,205393.587,93.752,동부
1038,20513,공공기준점,4급,BG41,양호,부산,(주)부산도시가스,동판,부산광역시 북구,부산기후변화 체험교육관 입구 횡단보도 중간에 위치(새주소 : 학사로),2015,,,GRS80,292972.675,200725.65,7.674,동부
