공간정보일련번호,지형지물부호,등록구,관리기관,명칭,구경,형식,제작회사,최대유량,설치일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
130,유량계,서구,서부사업소,19블록 유량계,250,초음파식,씨엠텍,0,2018-04-03,사상가압장(기설),양호,-,서구,블록
237,유량계,서구,서부사업소,17블록 유량계,250,초음파식,씨엠텍,278224.44,2018-04-03,대티배수지,양호,-,서구,블록
"4,513",유량계,영도구,영도사업소,제18블록 유량계,150,전자식,서용,277690.57,2018-03-26,청학배수지,양호,상수맨홀,영도구,블록
"4,481",유량계,영도구,영도사업소,5블록유량계,200,전자식,서용,277615.39,2018-03-26,청학배수지,양호,상수맨홀,영도구,블록
"4,497",유량계,영도구,영도사업소,14-1블록 유량계,200,전자식,서용,277703.19,2018-03-26,청학배수지,양호,상수맨홀,영도구,블록
82,유량계,부산진구,부산진사업소,27블록 유량계,200,전자식,서용엔지니어링,0,2018-03-19,전포2배수지,양호,-,부산진구,블록
264,유량계,부산진구,부산진사업소,40블록 유량계,200,전자식,서용엔지니어링,0,2018-03-19,개금1배수지,양호,-,부산진구,블록
183,유량계,부산진구,부산진사업소,32-1블록 유량계,200,전자식,서용엔지니어링,0,2018-03-19,전포1배수지,양호,-,부산진구,블록
194,유량계,부산진구,부산진사업소,12블록 유량계,200,전자식,서용엔지니어링,0,2018-03-19,거제배수지,양호,-,부산진구,블록
324,유량계,부산진구,부산진사업소,19-1블록 유량계,200,전자식,서용엔지니어링,0,2018-03-19,전포1배수지,양호,-,-,블록
391,유량계,부산진구,부산진사업소,36-1블록 유량계,200,전자식,서용엔진니어링,0,2018-03-19,개금1배수지,양호,상수맨홀,부산진구,블록
"3,889",유량계,북구,화명정수사업소,화명유입 1500mm,1500,초음파식,창민테크,0,2018-03-14,물금취수장(가압),양호,-,-,원수
582,유량계,북구,북부사업소,9블록 유량계,300,초음파식,리테크,0,2018-02-26,만덕2배수지,양호,-,북구,블록
175,유량계,영도구,영도사업소,제17블록 유량계,150,전자식,서용,277159.35,2018-02-20,청학배수지,양호,상수맨홀,영도구,블록
221,유량계,영도구,영도사업소,제15블록 유량계,200,전자식,서용,200,2018-02-20,청학배수지,양호,상수맨홀,영도구,블록
