공간정보일련번호,지형지물부호,등록구,관리기관,행정동,허가번호,설치위치,방향,차도폭,길어깨(보도)의폭,높이,색상,도로구간번호,가로표지판규격,세로표지판규격,물건종류,허가구분
"1,425",사설안내표지판,사상구,사상구,괘법동,사상구200944(4),괘법동 2265번지 앞 가로등(백양로),,15,,5,흰(미)색바탕 청색글자,,1200,550,,허가
"1,426",사설안내표지판,부산진구,,연지동,부산진구09124,연지동 하나로교회 아래,동평로에서 하나로교회 방면,12,,3,흰(미)색바탕 진황색(계열)글자,새마을2로,800,400,종교시설,허가
"1,427",사설안내표지판,연제구,,연산9동,###############################################################################################################################################################################################################################################################,연산9동 41817,,21,5,5,흰(미)색바탕 갈색(계열)글자,"과정로, 좌수영로",1200,550,종교시설,허가
"1,428",사설안내표지판,연제구,,연산9동,2009133,연산9동 4893,,17,4,5,흰(미)색바탕 청색글자,과정로,1200,550,국가기관및기초자치단체(구군청),허가
"1,429",사설안내표지판,연제구,,연산9동,2009134,연산9동 4792,,17,4,5,흰(미)색바탕 청색글자,과정로,1200,550,기타,허가
"1,430",사설안내표지판,해운대구,해운대구 도시건설국 도시디자인과,좌1동,200642,좌동화인크리닉센타앞(해운대여성인력개발센터),,,16,,흰(미)색바탕 검정(계열)글자,양운로,1200,550,기타,허가
"1,431",사설안내표지판,연제구,,연산9동,2009133,연산9동 4797,,17,4,5,흰(미)색바탕 청색글자,과정로,1200,550,국가기관및기초자치단체(구군청),허가
"1,432",사설안내표지판,연제구,,연산9동,2009154,연산9동 41721,,17,4,5,흰(미)색바탕 청색글자,과정로,1200,550,국가기관및기초자치단체(구군청),허가
"1,433",사설안내표지판,연제구,,연산8동,2009158,연산8동 407,,21,5,5,흰(미)색바탕 청색글자,"과정로, 좌수영로",1200,550,교육기관(학교 등),허가
"1,434",사설안내표지판,해운대구,해운대구 도시건설국 도시디자인과,중1동,200626,중동대림비치앞가로등(지하철해운대역),,,12,,흰(미)색바탕 검정(계열)글자,,1200,550,기타,허가
"1,435",사설안내표지판,동래구,동래구,안락2동,동래구201232,안락동 47257(안락동 475),안락로터리,26,4,5,흰(미)색바탕 남색글자,"만덕로, 충렬로,해운로",1200,550,흰(미)색바탕 남색글자,허가
"1,436",사설안내표지판,연제구,,연산9동,2009135,연산9동 5731,,17,3,5,흰(미)색바탕 청색글자,과정로,1200,550,교육기관(학교 등),허가
"1,437",사설안내표지판,동래구,동래구,안락2동,동래구201210,안락동 47257(안락동475),안락로터리,26,4,5,흰(미)색바탕 남색글자,"만덕로, 충렬로,해운로",1200,550,교육기관(학교 등),허가
"1,438",사설안내표지판,수영구,,민락동,수영구2010,,,,,,,민락해변6길,,,,허가
"1,439",사설안내표지판,부산진구,,개금1동,부산진구0845,개금1동 개금컴퓨터학원 건물 앞,백병원 사거리에서 백병원방향,16,3,4,흰(미)색바탕 남색글자,엄광로,1200,550,교육기관(학교 등),허가
"1,440",사설안내표지판,강서구,,명지동,강서구 200726,강서구 명지동 국도2호선 7번가로등 ,,,,,흰(미)색바탕 남색글자,낙동남로,1200,550,교육기관(학교 등),허가
"1,441",사설안내표지판,강서구,,명지동,강서구 200727,강서구 명지동 국도2호선 484번 가로등,,,,,흰(미)색바탕 남색글자,낙동남로,1200,550,교육기관(학교 등),허가
"1,442",사설안내표지판,강서구,,대저2동,강서구 200722,강서구 대저2동 공항로 입체교차로 34 가로등,,,,,흰(미)색바탕 청색글자,,1800,850,국가기관및기초자치단체(구군청),허가
"1,443",사설안내표지판,강서구,,대저2동,강서구 200721,강서구 대저2동 서부산IC출구(가로등 공항로 169),,,,,흰(미)색바탕 청색글자,남해고속도로지선,1800,850,국가기관및기초자치단체(구군청),허가
"1,444",사설안내표지판,해운대구,해운대구 도시건설국 도시디자인과,우2동,200659,요트경기장앞가로등,,,12,,흰(미)색바탕 갈색(계열)글자,해운로,1200,550,종교시설,허가
"1,445",사설안내표지판,동래구,동래구,안락2동,동래구201204,안락동 5931번지(한전전력공사 동래지점 옆) 충렬로,원동교 동래한전 안락교차로봉생병원,21,5,5,흰(미)색바탕 청색글자,"만덕로, 충렬로,해운로",1500,950,의료시설,허가
"1,446",사설안내표지판,해운대구,해운대구 도시건설국 도시디자인과,우1동,200661,우동해운대중학교앞2개소(해운대중학교),,,6,,흰(미)색바탕 남색글자,한적길,1200,550,교육기관(학교 등),허가
